fixture,variant,active_count,kendall_tau,top5_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count,baseline_total_abs_magnitude,perturbed_total_abs_magnitude,magnitude_recovery_fraction,mean_abs_magnitude_delta,max_abs_magnitude_delta
p1-01,(none),0,-0.066667,0.800000,7,7,0,0,52.000000,0.000000,0.000000,7.428571,18.000000
p1-01,gain,1,-0.066667,0.800000,7,7,0,0,52.000000,0.000000,0.000000,7.428571,18.000000
p1-01,broken,1,-0.066667,0.800000,7,7,0,0,52.000000,3.000000,0.057692,7.285714,16.000000
p1-01,gain+broken,2,-0.066667,0.800000,7,7,0,0,52.000000,3.000000,0.057692,7.285714,16.000000
p1-01,skipTests,1,0.466667,0.800000,7,7,0,0,52.000000,26.000000,0.500000,3.714286,9.000000
p1-01,gain+skipTests,2,0.466667,0.800000,7,7,0,0,52.000000,26.000000,0.500000,3.714286,9.000000
p1-01,broken+skipTests,2,0.333333,0.800000,7,7,0,0,52.000000,34.000000,0.653846,2.857143,7.000000
p1-01,gain+broken+skipTests,3,0.333333,0.800000,7,7,0,0,52.000000,34.000000,0.653846,2.857143,7.000000
p1-01,manualIde,1,0.066667,0.800000,7,7,0,0,52.000000,16.000000,0.307692,5.142857,16.000000
p1-01,gain+manualIde,2,0.066667,0.800000,7,7,0,0,52.000000,16.000000,0.307692,5.142857,16.000000
p1-01,broken+manualIde,2,0.066667,0.800000,7,7,0,0,52.000000,15.000000,0.288462,5.285714,14.000000
p1-01,gain+broken+manualIde,3,0.066667,0.800000,7,7,0,0,52.000000,15.000000,0.288462,5.285714,14.000000
p1-01,skipTests+manualIde,2,0.733333,0.800000,7,7,0,0,52.000000,42.000000,0.807692,2.000000,7.000000
p1-01,gain+skipTests+manualIde,3,0.733333,0.800000,7,7,0,0,52.000000,42.000000,0.807692,2.000000,7.000000
p1-01,broken+skipTests+manualIde,3,0.733333,0.800000,7,7,0,0,52.000000,41.000000,0.788462,1.571429,5.000000
p1-01,gain+broken+skipTests+manualIde,4,0.733333,0.800000,7,7,0,0,52.000000,41.000000,0.788462,1.571429,5.000000
p1-01,length,1,0.333333,0.800000,7,7,0,0,52.000000,12.000000,0.230769,5.714286,12.000000
p1-01,gain+length,2,0.333333,0.800000,7,7,0,0,52.000000,12.000000,0.230769,5.714286,12.000000
p1-01,broken+length,2,0.333333,0.800000,7,7,0,0,52.000000,13.000000,0.250000,5.857143,11.000000
p1-01,gain+broken+length,3,0.333333,0.800000,7,7,0,0,52.000000,13.000000,0.250000,5.857143,11.000000
p1-01,skipTests+length,2,0.600000,0.800000,7,7,0,0,52.000000,38.000000,0.730769,2.000000,6.000000
p1-01,gain+skipTests+length,3,0.600000,0.800000,7,7,0,0,52.000000,38.000000,0.730769,2.000000,6.000000
p1-01,broken+skipTests+length,3,0.600000,0.800000,7,7,0,0,52.000000,44.000000,0.846154,1.428571,5.000000
p1-01,gain+broken+skipTests+length,4,0.600000,0.800000,7,7,0,0,52.000000,44.000000,0.846154,1.428571,5.000000
p1-01,manualIde+length,2,0.333333,0.800000,7,7,0,0,52.000000,26.000000,0.500000,3.714286,11.000000
