fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
01-agent,0,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,1,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,2,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,3,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,4,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,5,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,6,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,7,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,8,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,9,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,10,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,11,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,12,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,13,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,14,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,15,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,16,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,17,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,18,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,19,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,20,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,21,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,22,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,23,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,24,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,25,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,26,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,27,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,28,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,29,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,30,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,31,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,32,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,33,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,34,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,35,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,36,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,37,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,38,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,39,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,40,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,41,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,42,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,43,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,44,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,45,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,46,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,47,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,48,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,49,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,50,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,51,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,52,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,53,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,54,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,55,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,56,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,57,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,58,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,59,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,60,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,61,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,62,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,63,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,64,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,65,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,66,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,67,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,68,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,69,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,70,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,71,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,72,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,73,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,74,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,75,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,76,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,77,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,78,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,79,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,80,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,81,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,82,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,83,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,84,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,85,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,86,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,87,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,88,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,89,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,90,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,91,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,92,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,93,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,94,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,95,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,96,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,97,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,98,-1.000000,0.000000,1.000000,1.000000,3,3
01-agent,99,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,100,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,101,1.000000,1.000000,1.000000,1.000000,3,3
01-agent,102,1.000000,1.000000,1.000000,1.000000,3,3
