fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
will-01,0,0.733333,1.000000,0.666667,1.000000,7,7
will-01,1,1.000000,1.000000,1.000000,1.000000,7,7
will-01,2,0.600000,1.000000,0.666667,1.000000,7,7
will-01,3,0.733333,1.000000,0.666667,1.000000,7,7
will-01,4,0.333333,1.000000,0.666667,0.800000,7,7
will-01,5,0.866667,1.000000,1.000000,1.000000,7,7
will-01,6,0.733333,1.000000,0.666667,1.000000,7,7
will-01,7,0.466667,1.000000,0.666667,0.800000,7,7
will-01,8,1.000000,1.000000,1.000000,1.000000,7,7
will-01,9,0.866667,1.000000,1.000000,1.000000,7,7
will-01,10,0.600000,1.000000,0.666667,0.800000,7,7
will-01,11,0.866667,1.000000,0.666667,1.000000,7,7
will-01,12,1.000000,1.000000,1.000000,1.000000,7,7
will-01,13,0.733333,1.000000,0.666667,1.000000,7,7
will-01,14,0.733333,1.000000,0.666667,1.000000,7,7
will-01,15,0.866667,1.000000,1.000000,1.000000,7,7
will-01,16,1.000000,1.000000,1.000000,1.000000,7,7
will-01,17,-0.066667,1.000000,0.333333,0.800000,7,7
will-01,18,1.000000,1.000000,1.000000,1.000000,7,7
will-01,19,0.733333,1.000000,0.666667,1.000000,7,7
will-01,20,1.000000,1.000000,1.000000,1.000000,7,7
will-01,21,1.000000,1.000000,1.000000,1.000000,7,7
will-01,22,0.600000,1.000000,0.666667,0.800000,7,7
will-01,23,0.733333,1.000000,0.666667,1.000000,7,7
will-01,24,0.866667,1.000000,0.666667,1.000000,7,7
will-01,25,0.733333,1.000000,0.666667,1.000000,7,7
will-01,26,0.600000,1.000000,1.000000,0.800000,7,7
will-01,27,0.733333,1.000000,0.666667,1.000000,7,7
will-01,28,0.600000,1.000000,0.666667,0.800000,7,7
will-01,29,0.466667,1.000000,0.666667,0.800000,7,7
will-01,30,0.600000,1.000000,0.666667,1.000000,7,7
will-01,31,0.866667,1.000000,1.000000,1.000000,7,7
will-01,32,1.000000,1.000000,1.000000,1.000000,7,7
will-01,33,0.733333,1.000000,0.666667,1.000000,7,7
will-01,34,0.733333,1.000000,0.666667,1.000000,7,7
will-01,35,0.866667,1.000000,1.000000,1.000000,7,7
