fixture,sample_id,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,baseline_size,perturbed_size
p1-01,0,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,1,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,2,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,3,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,4,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,5,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,6,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,7,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,8,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,9,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,10,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,11,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,12,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,13,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,14,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,15,0.600000,0.000000,0.666667,1.000000,7,7
p1-01,16,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,17,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,18,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,19,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,20,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,21,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,22,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,23,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,24,0.600000,1.000000,1.000000,0.800000,7,7
p1-01,25,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,26,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,27,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,28,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,29,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,30,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,31,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,32,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,33,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,34,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,35,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,36,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,37,0.466667,1.000000,0.666667,0.800000,7,7
p1-01,38,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,39,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,40,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,41,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,42,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,43,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,44,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,45,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,46,0.066667,0.000000,0.666667,0.800000,7,7
p1-01,47,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,48,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,49,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,50,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,51,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,52,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,53,0.333333,0.000000,0.666667,0.800000,7,7
p1-01,54,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,55,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,56,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,57,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,58,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,59,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,60,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,61,0.333333,0.000000,0.666667,0.800000,7,7
p1-01,62,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,63,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,64,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,65,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,66,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,67,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,68,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,69,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,70,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,71,0.333333,0.000000,0.666667,0.800000,7,7
p1-01,72,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,73,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,74,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,75,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,76,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,77,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,78,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,79,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,80,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,81,1.000000,1.000000,1.000000,1.000000,7,7
p1-01,82,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,83,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,84,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,85,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,86,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,87,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,88,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,89,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,90,0.600000,0.000000,0.666667,1.000000,7,7
p1-01,91,0.866667,1.000000,1.000000,1.000000,7,7
p1-01,92,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,93,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,94,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,95,0.600000,1.000000,0.666667,0.800000,7,7
p1-01,96,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,97,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,98,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,99,0.866667,1.000000,0.666667,1.000000,7,7
p1-01,100,0.733333,1.000000,0.666667,1.000000,7,7
p1-01,101,0.600000,1.000000,0.666667,1.000000,7,7
p1-01,102,0.866667,1.000000,1.000000,1.000000,7,7
