fixture,group,weight,factor,kendall_tau,top1_hit_rate,top3_hit_rate,top5_hit_rate,top10_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count
001,process,gain,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,gain,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,1
001,process,gain,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,1
001,process,gain,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,1
001,process,broken,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,broken,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,1
001,process,skipTests,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,skipTests,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,manualIde,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,length,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,1
001,process,commitGap,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,1.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,1.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,commitGap,10.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
001,process,lag,0.100000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,0,0
