session_id,pattern,strength,target_step,expected_kinds,fixture_path,control_session_id
001,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,sessions/001/,042
002,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,sessions/002/,042
003,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,sessions/003/,043
004,ManualExtractMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/004/,042
005,ManualExtractMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/005/,042
006,ManualRenameMethod,loud,2,ORDERING;IDE_REPLAY,sessions/006/,043
007,ManualRenameMethod,loud,2,ORDERING;IDE_REPLAY,sessions/007/,043
008,ManualRenameMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/008/,042
009,ManualRenameMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/009/,042
010,ManualInlineMethod,loud,2,ORDERING;IDE_REPLAY,sessions/010/,043
011,ManualInlineMethod,loud,2,ORDERING;IDE_REPLAY,sessions/011/,043
012,ManualInlineMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/012/,042
013,ManualInlineMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/013/,042
014,ManualMoveMethod,loud,2,ORDERING;IDE_REPLAY;HYGIENE,sessions/014/,044
015,ManualMoveMethod,loud,2,ORDERING;IDE_REPLAY,sessions/015/,044
016,ManualMoveMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/016/,042
017,ManualMoveMethod,borderline,2,ORDERING;IDE_REPLAY,sessions/017/,042
018,ManualExtractVariable,loud,2,ORDERING;IDE_REPLAY,sessions/018/,043
019,ManualExtractVariable,loud,2,ORDERING;IDE_REPLAY,sessions/019/,043
020,ManualExtractVariable,borderline,2,ORDERING;IDE_REPLAY,sessions/020/,042
021,ManualExtractVariable,borderline,2,ORDERING;IDE_REPLAY,sessions/021/,042
022,SuboptimalOrdering,loud,4,ORDERING,sessions/022/,045
023,SuboptimalOrdering,loud,4,ORDERING,sessions/023/,045
024,SuboptimalOrdering,borderline,3,ORDERING;REWORK,sessions/024/,045
025,SuboptimalOrdering,borderline,3,ORDERING,sessions/025/,045
026,SuboptimalOrdering,borderline,3,ORDERING,sessions/026/,042
027,AddThenRevert,loud,1,REWORK,sessions/027/,045
028,AddThenRevert,loud,1,REWORK,sessions/028/,045
029,AddThenRevert,borderline,1,REWORK,sessions/029/,043
030,AddThenRevert,borderline,1,REWORK,sessions/030/,043
031,AddThenRevert,borderline,1,REWORK,sessions/031/,042
032,SkippedTests,loud,3,HYGIENE;ORDERING,sessions/032/,043
033,SkippedTests,loud,4,HYGIENE;ORDERING,sessions/033/,043
034,SkippedTests,borderline,2,HYGIENE;ORDERING,sessions/034/,042
035,SkippedTests,borderline,2,HYGIENE;ORDERING,sessions/035/,042
036,SkippedTests,borderline,1,HYGIENE,sessions/036/,042
037,NoCommitStretch,loud,7,REWORK;HYGIENE;ORDERING,sessions/037/,045
038,NoCommitStretch,loud,8,HYGIENE;ORDERING,sessions/038/,045
039,NoCommitStretch,borderline,6,REWORK;ORDERING,sessions/039/,045
040,NoCommitStretch,borderline,6,REWORK;ORDERING,sessions/040/,045
041,Control,control,-1,ORDERING,sessions/041/,
042,Control,control,-1,ORDERING,sessions/042/,
043,AddThenRevert,borderline,1,ORDERING,sessions/043/,045
044,Control,control,-1,ORDERING,sessions/044/,
045,Control,control,-1,,sessions/045/,
