fixture,variant,active_count,kendall_tau,top5_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count,baseline_total_abs_magnitude,perturbed_total_abs_magnitude,magnitude_recovery_fraction,mean_abs_magnitude_delta,max_abs_magnitude_delta
001,(none),0,1.000000,1.000000,1,1,0,0,23.000000,0.000000,0.000000,23.000000,23.000000
001,gain,1,1.000000,1.000000,1,1,0,0,23.000000,0.000000,0.000000,23.000000,23.000000
001,broken,1,1.000000,1.000000,1,1,0,0,23.000000,10.000000,0.434783,13.000000,13.000000
001,gain+broken,2,1.000000,1.000000,1,1,0,0,23.000000,10.000000,0.434783,13.000000,13.000000
001,skipTests,1,1.000000,1.000000,1,1,0,0,23.000000,0.000000,0.000000,23.000000,23.000000
001,gain+skipTests,2,1.000000,1.000000,1,1,0,0,23.000000,0.000000,0.000000,23.000000,23.000000
001,broken+skipTests,2,1.000000,1.000000,1,1,0,0,23.000000,10.000000,0.434783,13.000000,13.000000
001,gain+broken+skipTests,3,1.000000,1.000000,1,1,0,0,23.000000,10.000000,0.434783,13.000000,13.000000
001,manualIde,1,1.000000,1.000000,1,1,0,0,23.000000,5.000000,0.217391,18.000000,18.000000
001,gain+manualIde,2,1.000000,1.000000,1,1,0,0,23.000000,5.000000,0.217391,18.000000,18.000000
001,broken+manualIde,2,1.000000,1.000000,1,1,0,0,23.000000,15.000000,0.652174,8.000000,8.000000
001,gain+broken+manualIde,3,1.000000,1.000000,1,1,0,0,23.000000,15.000000,0.652174,8.000000,8.000000
001,skipTests+manualIde,2,1.000000,1.000000,1,1,0,0,23.000000,5.000000,0.217391,18.000000,18.000000
001,gain+skipTests+manualIde,3,1.000000,1.000000,1,1,0,0,23.000000,5.000000,0.217391,18.000000,18.000000
001,broken+skipTests+manualIde,3,1.000000,1.000000,1,1,0,0,23.000000,15.000000,0.652174,8.000000,8.000000
001,gain+broken+skipTests+manualIde,4,1.000000,1.000000,1,1,0,0,23.000000,15.000000,0.652174,8.000000,8.000000
001,length,1,1.000000,1.000000,1,1,0,0,23.000000,6.000000,0.260870,17.000000,17.000000
001,gain+length,2,1.000000,1.000000,1,1,0,0,23.000000,6.000000,0.260870,17.000000,17.000000
