session_id,pattern,strength,target_step,expected_kinds,observed_kinds,ordering_class,ide_replay_class,rework_class,hygiene_class,ordering_max_magnitude,ide_replay_max_magnitude,rework_max_magnitude,hygiene_max_magnitude,injection,injection_caught,injection_max_magnitude,endpoint_improved,perstep_hit,advisor_hit,control_dp_count,ordering_dp_count,ide_replay_dp_count,rework_dp_count,hygiene_dp_count,ordering_alt_count,ide_replay_alt_count,rework_alt_count,hygiene_alt_count,ordering_min_magnitude,ide_replay_min_magnitude,rework_min_magnitude,hygiene_min_magnitude,ordering_mean_magnitude,ide_replay_mean_magnitude,rework_mean_magnitude,hygiene_mean_magnitude,ordering_beats_count,ide_replay_beats_count,rework_beats_count,hygiene_beats_count,ordering_magnitudes,ide_replay_magnitudes,rework_magnitudes,hygiene_magnitudes,total_dp_count,total_alt_count,best_alt_magnitude,user_final_process_score,cleanliness_delta,perstep_regression_steps,injection_dp_count,injection_dp_rank,injection_step_match
001,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,23.0000,,,IDE_REPLAY,true,23.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,23.0000,,,,23.0000,,,0,1,0,0,,23.0000,,,1,1,23.0000,55,50,2,1,1,false
002,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,24.0000,,,IDE_REPLAY,true,24.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,24.0000,,,,24.0000,,,0,1,0,0,,24.0000,,,1,1,24.0000,47,34,2,1,1,false
003,ManualExtractMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,19.0000,,,IDE_REPLAY,true,19.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,19.0000,,,,19.0000,,,0,1,0,0,,19.0000,,,1,1,19.0000,79,100,2;3,1,1,false
004,ManualExtractMethod,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,23.0000,,,IDE_REPLAY,true,23.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,23.0000,,,,23.0000,,,0,1,0,0,,23.0000,,,1,1,23.0000,77,100,3;4,1,1,false
005,ManualExtractMethod,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,15.0000,,,IDE_REPLAY,true,15.0000,true,true,NA,2,0,1,0,0,0,1,0,0,,15.0000,,,,15.0000,,,0,1,0,0,,15.0000,,,1,1,15.0000,54,34,2,1,1,false
006,ManualRenameMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY;ORDERING,TP,TP,TN,TN,0.0000,0.0000,,,IDE_REPLAY,false,0.0000,false,true,NA,2,1,1,0,0,1,1,0,0,0.0000,0.0000,,,0.0000,0.0000,,,0,0,0,0,0.0000,0.0000,,,2,2,0.0000,0,-100,2,1,1,false
007,ManualRenameMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,-5.0000,,,IDE_REPLAY,false,-5.0000,false,true,NA,2,0,1,0,0,0,1,0,0,,-5.0000,,,,-5.0000,,,0,0,0,0,,-5.0000,,,1,1,-5.0000,45,,2,1,1,false
008,ManualRenameMethod,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,0.0000,,,IDE_REPLAY,false,0.0000,false,true,NA,2,0,1,0,0,0,1,0,0,,0.0000,,,,0.0000,,,0,0,0,0,,0.0000,,,1,1,0.0000,0,-100,2,1,1,false
009,ManualRenameMethod,borderline,2,ORDERING;IDE_REPLAY,IDE_REPLAY;ORDERING,TP,TP,TN,TN,0.0000,0.0000,,,IDE_REPLAY,false,0.0000,false,true,NA,2,1,1,0,0,1,1,0,0,0.0000,0.0000,,,0.0000,0.0000,,,0,0,0,0,0.0000,0.0000,,,2,2,0.0000,0,-100,1,1,1,false
010,ManualInlineMethod,loud,2,ORDERING;IDE_REPLAY,IDE_REPLAY,FN,TP,TN,TN,,19.0000,,,IDE_REPLAY,true,19.0000,true,false,NA,2,0,1,0,0,0,1,0,0,,19.0000,,,,19.0000,,,0,1,0,0,,19.0000,,,1,1,19.0000,59,45,4,1,1,false
